id,subsystem,item,specification,v0_qty,full88_estimate,critical_note
E01,lighting,Addressable LED strip,"5 V; 144 LED/m; IP30; black PCB; APA102C or SK9822; 10-12 mm width",0.667 m,5.0 m,"Buy one continuous batch; confirm arrow/pin labels before cutting"
E02,control,ESP32-S3 development board,"ESP32-S3 DevKitC-1 or compatible with native USB",1,1,"GPIO 11/12 must be broken out"
E03,logic,Level shifter,"74AHCT125 powered at 5 V",1,1,"Do not substitute 74HC125 without checking VIH"
E04,power,AC/DC supply,"Certified enclosed desktop adapter; 5 V 5 A for V0",1,TBD 10-15 A distributed,"No exposed mains wiring"
E05,power,Fuse,"5 A inline fuse or 3-5 A resettable protected module",1,3-5,"Place near power source"
E06,power,Bulk capacitor,"1000 uF 10 V low-ESR electrolytic",1,1 per power zone,"Observe polarity"
E07,signal,Series resistors,"100 ohm 0.25 W; acceptable experiment range 68-150 ohm",2,2,"At level-shifter output"
E08,wiring,Power cable,"20-22 AWG red/black stranded copper",1 m,TBD,"Keep injection leads short"
E09,wiring,Signal wire,"26-28 AWG flexible; ground paired with clock/data",1 m,TBD,"Avoid long untwisted loops"
E10,connector,Power connector,"XT30 pair or covered 5 A locking equivalent",1 pair,1 per zone,"No exposed 5 V contacts"
M01,mechanical,Printed base,"PETG; generated v0_base",1,7-9,"Deburr contact surface"
M02,mechanical,Printed tray,"PETG; generated v0_tray",1,7-9,"LED adhesive bonds here only"
M03,optical,Printed baffle,"Matte black PETG/PLA; generated v0_baffle",1,7-9,"Inspect every aperture"
M04,optical,Diffuser,"0.5-0.8 mm frosted PP or 0.6 mm natural PETG",1,7-9,"Test with and without"
M05,mechanical,Alignment jig,"Printed; generated v0_alignment_jig",1,1,"Remove before playing"
M06,finish,Silicone isolation sheet,"0.8-1.0 mm; non-marking; adhesive only toward device",0.01 m2,0.08 m2,"24 h compatibility test first"
M07,fastener,M3 screw and locknut,"M3 x 16-20 mm; washer optional",4,32-40,"Do not overtighten"
M08,ballast,Steel fender washer,"<=24 mm OD; <=2 mm total stack per pocket",4,TBD,"Must be fully captured"
T01,test,Digital multimeter,"DC voltage continuity current as appropriate",1,1,"Required before first power"
T02,test,Thermometer,"Contact probe preferred",1,1,"Hand feel is not final acceptance"

