线束ID,起点,终点,引脚,颜色,线径,成品长度毫米,端接,制造要求,验收
H0,5V电源DC5521,3A保险丝输入,+5V,红,20AWG,120,DC5521母座到保险丝座,供电侧全绝缘且保险丝距入口不超过100mm,无保险丝时下游不导通
H0,5V电源DC5521,公共地母排,GND,黑,20AWG,120,压接或焊接加双层热缩,禁止用信号细线,端到端电阻小于0.10欧
H1,3A保险丝输出,Micro-Fit输入端,Pin1 +5V,红,20AWG,350,预压锁扣端子,电源侧使用凹端子外壳,拉力10N不断脱
H1,公共地母排,Micro-Fit输入端,Pin2 GND,黑,20AWG,350,预压锁扣端子,与Pin1同束,极性复核
H1,74AHCT125经100欧输出,Micro-Fit输入端,Pin3 DATA,绿,26AWG,350,预压锁扣端子,电阻放控制盒内且独立热缩,与Pin4不互换
H1,74AHCT125经100欧输出,Micro-Fit输入端,Pin4 CLOCK,蓝,26AWG,350,预压锁扣端子,电阻放控制盒内且独立热缩,与Pin3不互换
H2,Micro-Fit灯带端Pin1,灯带输入5V,+5V,红,20AWG,80,焊盘焊接加热缩和扎带应力释放,箭头必须由本端指向远端,通断正确
H2,Micro-Fit灯带端Pin2,灯带输入GND,GND,黑,20AWG,80,焊盘焊接加热缩和扎带应力释放,与电容负极同点,极性正确
H2,Micro-Fit灯带端Pin3,灯带DIN,DATA,绿,26AWG,80,焊盘焊接加热缩,只接DIN不接DOUT,通断正确
H2,Micro-Fit灯带端Pin4,灯带CIN,CLOCK,蓝,26AWG,80,焊盘焊接加热缩,只接CIN不接COUT,通断正确
H3,3A保险丝输出,XT30供电端,+5V,红,20AWG,1600,XT30凹端子供电侧,与灯带平行走线并在两端应力释放,端到端电阻小于0.12欧
H3,公共地母排,XT30供电端,GND,黑,20AWG,1600,XT30凹端子供电侧,与红线绞合或并排,端到端电阻小于0.12欧
H4,XT30灯带端,灯带远端5V,+5V,红,20AWG,80,焊盘焊接加热缩,不连接末端DATA或CLOCK,极性正确
H4,XT30灯带端,灯带远端GND,GND,黑,20AWG,80,焊盘焊接加热缩,与末端电容负极同点,极性正确
H5,3A保险丝输出,ESP32的USB-to-UART口,USB VBUS,红,24AWG或更粗,250,Micro-USB公头仅VBUS和GND,不得连接D+ D- ID；刷机时整根拔下,空载4.75至5.25V
H5,公共地母排,ESP32的USB-to-UART口,USB GND,黑,24AWG或更粗,250,Micro-USB公头仅VBUS和GND,不得连接D+ D- ID,外壳无裸铜且极性正确
H7,3A保险丝输出,OTG Y线第3供电口,USB VBUS,红,24AWG或更粗,250,Micro-USB公头仅VBUS和GND,给钢琴USB设备侧提供VBUS；不能替代H5,空载4.75至5.25V
H7,公共地母排,OTG Y线第3供电口,USB GND,黑,24AWG或更粗,250,Micro-USB公头仅VBUS和GND,与H5及ESP32共地,外壳无裸铜且极性正确
H6,3A保险丝输出,74AHCT125 VCC,+5V,红,24AWG或更粗,120,模块端子或焊接加热缩,靠近模块加0.1uF去耦,上电4.75至5.25V
H6,公共地母排,ESP32与74AHCT125 GND,GND,黑,24AWG或更粗,120,星形公共地,不得串经灯带焊盘,端到端电阻小于0.10欧
