状态,类别,物料,已购数量或规格,项目用途,到货必须确认,处置
已有,控制,ESP32-S3-DevKitC-1,乐鑫官方 N8R8,USB Host与灯带控制,丝印为N8R8且两个Micro-USB口完好,保留为最终件
已有,USB,供电型OTG Y线,Micro-USB公头加USB-A母口加Micro-USB供电口,连接ESP32原生USB Host与钢琴,三个接口类型正确且无破损；第三口只向USB-A外设侧供电,保留为最终件
已买未到,灯光,SK9822灯带,5V 144像素每米黑色PCB非防水且头4线尾2线,覆盖88键的单排提示灯,连续长度和像素数；宽度；DIN/CIN方向；头尾线定义不得只凭颜色猜,裁176像素后使用且余料留作维修
已买未到,电源,5V 5A适配器,DC5521,整机唯一电源,铭牌5V/5A与认证；插头5.5x2.1；空载极性和电压,通过验收后为最终件
已买未到,电源,DC015圆座,匹配DC5521,低压电源入口,中心针尺寸与正负极；接线端无松动,通过验收后为最终件
已买未到,保护,3A保险丝与保险座,含备件,保护所有下游5V支路,保险规格；保险座线径和绝缘；拔保险后下游断路,通过验收后为最终件
已买未到,保护,1000uF电解电容,2只且耐压不低于10V,灯带首尾缓冲,容量和耐压；负极条纹；引脚无折断,通过验收后为最终件
已买未到,信号,100欧四分之一瓦电阻,2只,DATA与CLOCK串联阻尼,阻值万用表抽测；引脚无折断,通过验收后为最终件
已买未到,连接,KF301-2P共点端子,10只,局部连接与公共配电,商家已确认所购具体款可以共点；到货查清共点方向并逐孔蜂鸣；确认是否自带底板或仍有待焊直脚,复核通过后按实际共点结构使用；不按通用裸KF301外观猜接
已买未到,连接,KF301-3P共点端子,10只,局部连接与公共配电,商家已确认所购具体款可以共点；到货查清共点方向并逐孔蜂鸣；确认是否自带底板或仍有待焊直脚,可与2P组合成所需节点但每个节点必须实测记录
已买未到,信号,74AHCT125N,DIP-14裸芯片,3.3V到5V DATA与CLOCK电平转换,完整料号必须含AHCT；方向缺口和引脚无损,只在面包板完成G1；最终装机前转成可靠焊接小板
已买未到,原型,170孔面包板,1块,74AHCT125N台架验证,中间沟槽可跨接DIP-14且接点夹持可靠,仅G1台架使用
已买未到,原型,杜邦线,公对公和母对公若干,低电流台架信号,插头夹持和导通,不得承担灯带主电流或作为最终装机线
已买未到,USB供电,Micro-USB公头供电线,2根H5和H7,从保险后5V分别给ESP32和Y线外设侧供电,确认裸线或输入端定义；逐线查出VBUS与GND；D加D减和ID不得误接,通过极性测试后使用
已买未到,线材,20AWG红黑硅胶线,各2米,灯带双端注电和电源主干,实测线径或铜截面；柔软无破皮,保留为最终线材
已买未到,线材,26AWG绿蓝硅胶线,各1米,DATA与CLOCK,导通且无破皮,保留为最终线材
已买未到,USB,USB-A公转USB-B公打印机线,1根,OTG Y线到PX-S7000 USB TO HOST,两端接口和数据四芯导通,保留为最终件
已买未到,结构,3D打印控制盒,托盘与盒盖,收纳控制板与线束,尺寸和开口；无翘曲开裂；不挤压USB插头,台架通过后再装
已买未到,紧固,M3x10塑料螺丝,4只,控制盒盖,与打印孔匹配且不过长,匹配后使用
已买未到,安装,拉伸移除式无痕固定带,3至5片,可拆固定灯带,包装用途与保质状态；先在隐蔽位置做24小时相容性测试,通过M1后使用
已买未到,工具,剪刀,1把,裁纸样和辅料,工作正常,不用于带电操作
已买未到,工具,数字万用表,1只,通断电阻与直流电压验收,通断蜂鸣和直流档工作正常；表笔绝缘完好,到货验收必需
待到货判定,绝缘,热缩管或等效绝缘,未采购,隔离元件裸脚与出线口,现有盒内是否仍有任何可触及裸导体,若存在则正式上电前补齐
待到货复核,配电,KF301公共节点实现,使用已买KF301-2P和3P,建立保险后5V与GND公共节点,商家已确认可共点；到货必须画出并蜂鸣确认共点关系；若与说明一致则无需补买配电端子,共点关系未记录前不得上电
待补必需,信号,0.1uF陶瓷去耦电容,1只,74AHCT125N的14脚到7脚就近去耦,容量约100nF且耐压不低于10V,裸芯片台架上电前补齐或从可靠电子套件中取用
待G1判定,工具,接触式温度计,可借用,完成温升门禁,能稳定测量0至100摄氏度,最迟G1连续运行测试前准备
